(True, 257156.07523649224, 288799.5439863781)
(False, 85654.76519792006, 85654.76519792006)
(False, 37968.02856077195, 37968.02856077195)
(True, 744665.0947099971, 337575.4372787834)
(True, 539739.7906357492, 579936.0550503335)
(False, 155462.55837873486, 155462.55837873486)
(False, 240228.13455922288, 240228.13455922288)
(False, 85895.08790931478, 85895.08790931478)
(False, 501652.821244564, 501652.821244564)
(False, 142425.1408140717, 142425.1408140717)
(False, 316903.6756116054, 316903.6756116054)
(False, 94461.33774647364, 94461.33774647364)
(False, 8858.235050361636, 8858.235050361636)
(False, 711397.4375735341, 711397.4375735341)
(False, 162558.2185365029, 162558.2185365029)
(False, 226407.32307159243, 226407.32307159243)
(False, 48267.05773275712, 48267.05773275712)
(False, 28576.301766607598, 28576.301766607598)
(False, 287960.864465893, 287960.864465893)
(False, 289066.67234875273, 289066.67234875273)
(True, 439422.5026394129, 284362.4971251552)
(True, 353221.55443023745, 1103215.4756757608)
(False, 113049.90898844226, 113049.90898844226)
(False, 584498.6441343472, 584498.6441343472)
(False, 671913.4319935192, 671913.4319935192)
(False, 679762.4328674793, 679762.4328674793)
(False, 624337.9018987729, 624337.9018987729)
(False, 614146.4036413917, 614146.4036413917)
(False, 214061.23262004252, 214061.23262004252)
(False, 1052891.0792960331, 1052891.0792960331)
(False, 570551.8375118389, 570551.8375118389)
(False, 382962.2597537398, 382962.2597537398)
(False, 28723.67567246674, 28723.67567246674)
(False, 119325.66628843009, 119325.66628843009)
(False, 258565.96696020983, 258565.96696020983)
(False, 150801.0349944011, 150801.0349944011)
(False, 25563.919244086297, 25563.919244086297)
(True, 11981.581867212439, 142278.57539637783)
(False, 253432.25989466085, 253432.25989466085)
(False, 282257.673235835, 282257.673235835)
(False, 347609.1813606599, 347609.1813606599)
(False, 17617.994758288893, 17617.994758288893)
(False, 213705.06231701336, 213705.06231701336)
(True, 58340.703304461495, 679553.0444112028)
(False, 86718.10127540346, 86718.10127540346)
(False, 533558.0207814605, 533558.0207814605)
(False, 62415.621438076916, 62415.621438076916)
(False, 19931.752871272976, 19931.752871272976)
(False, 179101.74638016836, 179101.74638016836)
(False, 73331.18072921096, 73331.18072921096)
(True, 58213.625135401926, 122359.82419298882)
(False, 130016.09729194609, 130016.09729194609)
(False, 368706.14704494737, 368706.14704494737)
(True, 144095.35037274103, 370873.2335568246)
(False, 253984.5506347034, 253984.5506347034)
(True, 853151.2491290069, 32282.6895508469)
(False, 225976.31098985323, 225976.31098985323)
(True, 43120.94054895569, 311423.6291369249)
(False, 388836.7825923998, 388836.7825923998)
(False, 299524.7829304672, 299524.7829304672)
(False, 82041.65991680452, 82041.65991680452)
(False, 229734.55534046193, 229734.55534046193)
(True, 145911.09642686593, 200756.76306619687)
(False, 67453.78923825623, 67453.78923825623)
(False, 168522.47455789504, 168522.47455789504)
(False, 169656.0436942697, 169656.0436942697)
(False, 487208.71159433876, 487208.71159433876)
(False, 187476.4286046881, 187476.4286046881)
(False, 864754.9849995835, 864754.9849995835)
(False, 89132.07544601522, 89132.07544601522)
(True, 400984.6229181892, 71838.72391150906)
(False, 7568.986997061411, 7568.986997061411)
(False, 262302.87722740765, 262302.87722740765)
(False, 239991.3975979689, 239991.3975979689)
(False, 123333.6219155347, 123333.6219155347)
(False, 26938.638364644365, 26938.638364644365)
(False, 424813.16263163474, 424813.16263163474)
(False, 70954.02523059663, 70954.02523059663)
(False, 87839.48165758722, 87839.48165758722)
(False, 891165.425475843, 891165.425475843)
(True, 289784.66395983426, 139666.6073333779)
(False, 164977.47476697655, 164977.47476697655)
(False, 248428.08707961222, 248428.08707961222)
(False, 446686.92683726305, 446686.92683726305)
(False, 73732.23766895608, 73732.23766895608)
(True, 246728.06335705664, 31601.094989243575)
(True, 357192.89455551, 293490.6678431039)
(False, 99177.14521637403, 99177.14521637403)
(False, 312003.574717879, 312003.574717879)
(False, 210720.90900465444, 210720.90900465444)
(False, 349657.1294428109, 349657.1294428109)
(False, 50525.249262425394, 50525.249262425394)
(False, 193883.32482029602, 193883.32482029602)
(False, 146917.4050713795, 146917.4050713795)
(False, 57821.58731329659, 57821.58731329659)
(False, 544094.5914953119, 544094.5914953119)
(True, 187391.44395093783, 785872.805291718)
(False, 786642.6131433258, 786642.6131433258)
(False, 384923.12817344675, 384923.12817344675)
(False, 760774.4374897882, 760774.4374897882)
